Izotop Praw Energia T1/2[s]
Ac-228 0.18% 1557.10 441806400000000000
Ac-228 0.61% 1580.50 441806400000000000
Bi-214 0.70% 1583.20 50492160000
Ac-228 3.27% 1588.20 441806400000000000
Bi-214 0.31% 1594.70 50492160000
Bi-214 0.38% 1599.30 50492160000
Bi-212 1.49% 1620.50 441806400000000000
Ac-228 0.26% 1625.00 441806400000000000
Ac-228 1.60% 1630.60 441806400000000000
Ac-228 0.47% 1638.30 441806400000000000
Bi-214 1.14% 1661.30 50492160000
Ac-228 0.18% 1666.50 441806400000000000
Bi-214 0.25% 1684.00 50492160000
Bi-214 2.88% 1729.60 50492160000
Bi-214 15.36% 1764.50 50492160000
Bi-214 0.40% 1838.40 50492160000
Bi-214 2.04% 1847.40 50492160000
Bi-214 0.25% 1873.20 50492160000
Bi-214 0.17% 1896.30 50492160000
Bi-214 1.14% 2118.60 50492160000
Bi-214 4.86% 2204.20 50492160000
Bi-214 0.30% 2293.40 50492160000
Bi-214 1.50% 2447.90 50492160000
Tl-208 99.16% 2614.50 441806400000000000
   
   
